,feat_sel_type,num_features,fold,metric,score
416,pearson_residuals,500,3,accuracy,0.9703504043126684
417,pearson_residuals,1000,3,accuracy,0.9718264664356308
418,pearson_residuals,2000,3,accuracy,0.9726607624181748
419,pearson_residuals,5000,3,accuracy,0.9711205236811706
420,seurat,20,3,accuracy,0.8840328584263895
421,seurat,50,3,accuracy,0.6886792452830188
422,seurat,100,3,accuracy,0.6676934924913361
423,seurat,200,3,accuracy,0.7674239507123605
424,seurat,300,3,accuracy,0.9201001155179052
425,seurat,400,3,accuracy,0.9408933384674624
426,seurat,500,3,accuracy,0.946412527275061
427,seurat,1000,3,accuracy,0.9505198305737388
428,seurat,2000,3,accuracy,0.967334103452702
429,seurat,5000,3,accuracy,0.970992170453087
430,cell_ranger,20,3,accuracy,0.6823899371069182
431,cell_ranger,50,3,accuracy,0.7607495828520088
432,cell_ranger,100,3,accuracy,0.9175330509562316
433,cell_ranger,200,3,accuracy,0.9337697343088178
434,cell_ranger,300,3,accuracy,0.950969066872032
435,cell_ranger,400,3,accuracy,0.9554614298549609
436,cell_ranger,500,3,accuracy,0.9587986137851366
437,cell_ranger,1000,3,accuracy,0.9674624566807856
438,cell_ranger,2000,3,accuracy,0.970542934154794
439,cell_ranger,5000,3,accuracy,0.970927993839045
440,random_all_genes,20,3,accuracy,0.8187010653317931
441,random_all_genes,50,3,accuracy,0.8700423565652676
442,random_all_genes,100,3,accuracy,0.9086125016044152
443,random_all_genes,200,3,accuracy,0.9412783981517135
444,random_all_genes,300,3,accuracy,0.947696059555898
445,random_all_genes,400,3,accuracy,0.950006417661404
446,random_all_genes,500,3,accuracy,0.9511615967141572
447,random_all_genes,1000,3,accuracy,0.957450904890258
448,random_all_genes,2000,3,accuracy,0.9618790912591452
449,random_all_genes,5000,3,accuracy,0.9675266332948274
450,seurat_v3,20,4,accuracy,0.909016393442623
451,seurat_v3,50,4,accuracy,0.9204918032786884
452,seurat_v3,100,4,accuracy,0.9483606557377048
453,seurat_v3,200,4,accuracy,0.9586065573770493
454,seurat_v3,300,4,accuracy,0.9631147540983608
455,seurat_v3,400,4,accuracy,0.969672131147541
456,seurat_v3,500,4,accuracy,0.9704918032786886
457,seurat_v3,1000,4,accuracy,0.9704918032786886
458,seurat_v3,2000,4,accuracy,0.9737704918032788
459,seurat_v3,5000,4,accuracy,0.9741803278688524
460,pearson_residuals,20,4,accuracy,0.9139344262295082
461,pearson_residuals,50,4,accuracy,0.931967213114754
462,pearson_residuals,100,4,accuracy,0.956967213114754
463,pearson_residuals,200,4,accuracy,0.9668032786885246
464,pearson_residuals,300,4,accuracy,0.9692622950819672
465,pearson_residuals,400,4,accuracy,0.9725409836065574
466,pearson_residuals,500,4,accuracy,0.97172131147541
467,pearson_residuals,1000,4,accuracy,0.9758196721311476
468,pearson_residuals,2000,4,accuracy,0.9737704918032788
469,pearson_residuals,5000,4,accuracy,0.9754098360655736
470,seurat,20,4,accuracy,0.9131147540983606
471,seurat,50,4,accuracy,0.914344262295082
472,seurat,100,4,accuracy,0.921311475409836
473,seurat,200,4,accuracy,0.9389344262295082
474,seurat,300,4,accuracy,0.9631147540983608
475,seurat,400,4,accuracy,0.9631147540983608
476,seurat,500,4,accuracy,0.9598360655737704
477,seurat,1000,4,accuracy,0.97172131147541
478,seurat,2000,4,accuracy,0.9668032786885246
479,seurat,5000,4,accuracy,0.9754098360655736
480,cell_ranger,20,4,accuracy,0.9229508196721312
481,cell_ranger,50,4,accuracy,0.9278688524590164
482,cell_ranger,100,4,accuracy,0.9590163934426228
483,cell_ranger,200,4,accuracy,0.967622950819672
484,cell_ranger,300,4,accuracy,0.97172131147541
485,cell_ranger,400,4,accuracy,0.9733606557377048
486,cell_ranger,500,4,accuracy,0.976639344262295
487,cell_ranger,1000,4,accuracy,0.976639344262295
488,cell_ranger,2000,4,accuracy,0.9782786885245902
