Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P1_Normal_827	4.19610877847563	10.2104208521395	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_941	4.25292869424712	10.8824675135164	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_977	4.06992479181181	10.8741381220369	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_978	4.14643402910124	10.6982462458162	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1007	3.98009510850798	10.7007610849886	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1033	-4.49974278593172	3.25852895303059	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1042	3.92861052369963	10.4792473368197	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1102	4.15348049020659	10.7623493723421	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1126	4.11148424959075	10.8826286844759	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1141	3.98144098138701	10.6876375727205	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1147	4.06383772706877	10.9022944025545	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1231	4.11542006349455	10.7119362406283	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1260	4.12340565538298	10.8217575602083	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1413	4.10703917360198	10.3127682261019	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1578	4.22851725435149	10.1579878382235	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1596	4.25854154443633	10.8450653605013	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1940	3.80874963617217	10.5537102274447	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_1965	4.01542945718657	10.844744925931	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_2138	3.88340230798613	10.5476086191683	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_2160	3.89033337449919	10.5156309656649	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_2250	3.99656601762663	10.7115795664339	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_2263	3.92383809900176	10.8400394968538	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_2275	4.14355297899138	10.4612829737215	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P4_Tumor_9	-8.18531970167268	2.10982513947774	Immune cells	B	B	13	P4_Tumor	P4	Tumor	Primary
P4_Normal_3	4.35222144937407	10.4797565989046	Immune cells	B	B	13	P4_Normal	P4	NAT	Primary
P4_Normal_174	4.35204740381133	10.3044884256868	Immune cells	B	B	13	P4_Normal	P4	NAT	Primary
P4_Normal_351	4.40517373895537	10.3598187021761	Immune cells	B	B	13	P4_Normal	P4	NAT	Primary
P4_Normal_370	4.34507795190703	10.623104339078	Immune cells	B	B	13	P4_Normal	P4	NAT	Primary
P4_Normal_506	4.1657969555844	10.4819567255526	Immune cells	B	B	13	P4_Normal	P4	NAT	Primary
